Epoch,Train Loss,Recall@5,MRR5,Best Epoch for Recall@5,Best Epoch for MRR5,Train Loss,Recall@10,MRR10,Best Epoch for Recall@10,Best Epoch for MRR10,Train Loss,Recall@20,MRR20,Best Epoch for Recall@20,Best Epoch for MRR20
0,"tensor(32271.1406, device='cuda:0', grad_fn=<AddBackward0>)",21.8030888030888,14.820012870012869,0,0,"tensor(32271.1406, device='cuda:0', grad_fn=<AddBackward0>)",27.328185328185327,15.560867500153213,0,0,"tensor(32271.1406, device='cuda:0', grad_fn=<AddBackward0>)",32.7992277992278,15.944728165515428,0,0
1,"tensor(29560.8750, device='cuda:0', grad_fn=<AddBackward0>)",22.0,14.942728442728443,1,1,"tensor(29560.8750, device='cuda:0', grad_fn=<AddBackward0>)",27.67181467181467,15.706672488815343,1,1,"tensor(29560.8750, device='cuda:0', grad_fn=<AddBackward0>)",33.63706563706564,16.121670334800587,1,1
2,"tensor(28508.4258, device='cuda:0', grad_fn=<AddBackward0>)",22.08108108108108,15.033204633204633,2,2,"tensor(28508.4258, device='cuda:0', grad_fn=<AddBackward0>)",28.023166023166024,15.822107311393028,2,2,"tensor(28508.4258, device='cuda:0', grad_fn=<AddBackward0>)",33.79150579150579,16.223111389940232,2,2
3,"tensor(27771.7812, device='cuda:0', grad_fn=<AddBackward0>)",22.428571428571427,15.217245817245818,3,3,"tensor(27771.7812, device='cuda:0', grad_fn=<AddBackward0>)",28.18918918918919,15.982922718637004,3,3,"tensor(27771.7812, device='cuda:0', grad_fn=<AddBackward0>)",33.93050193050193,16.382304076305623,3,3
4,"tensor(27204.3047, device='cuda:0', grad_fn=<AddBackward0>)",22.49034749034749,15.042149292149293,4,3,"tensor(27204.3047, device='cuda:0', grad_fn=<AddBackward0>)",28.25868725868726,15.813023227308943,4,3,"tensor(27204.3047, device='cuda:0', grad_fn=<AddBackward0>)",34.366795366795365,16.240422881510895,4,3
5,"tensor(26783.0996, device='cuda:0', grad_fn=<AddBackward0>)",22.436293436293436,15.255212355212356,4,5,"tensor(26783.0996, device='cuda:0', grad_fn=<AddBackward0>)",28.17760617760618,16.02596525096525,4,5,"tensor(26783.0996, device='cuda:0', grad_fn=<AddBackward0>)",34.49034749034749,16.470244884884426,5,5
6,"tensor(26423.0723, device='cuda:0', grad_fn=<AddBackward0>)",22.47876447876448,15.10096525096525,4,5,"tensor(26423.0723, device='cuda:0', grad_fn=<AddBackward0>)",28.37837837837838,15.890584972727831,6,5,"tensor(26423.0723, device='cuda:0', grad_fn=<AddBackward0>)",34.67953667953668,16.33072193204325,6,5
7,"tensor(26134.0938, device='cuda:0', grad_fn=<AddBackward0>)",22.664092664092664,15.212162162162162,7,5,"tensor(26134.0938, device='cuda:0', grad_fn=<AddBackward0>)",28.424710424710426,15.98160354231783,7,5,"tensor(26134.0938, device='cuda:0', grad_fn=<AddBackward0>)",34.75675675675676,16.421951075522504,7,5
8,"tensor(25915.1855, device='cuda:0', grad_fn=<AddBackward0>)",22.293436293436294,14.859845559845558,7,5,"tensor(25915.1855, device='cuda:0', grad_fn=<AddBackward0>)",28.115830115830114,15.637286265857691,7,5,"tensor(25915.1855, device='cuda:0', grad_fn=<AddBackward0>)",34.18918918918919,16.06088860968892,7,5
9,"tensor(25681.1270, device='cuda:0', grad_fn=<AddBackward0>)",22.111969111969113,14.699420849420852,7,5,"tensor(25681.1270, device='cuda:0', grad_fn=<AddBackward0>)",27.868725868725868,15.466354109211252,7,5,"tensor(25681.1270, device='cuda:0', grad_fn=<AddBackward0>)",34.02316602316603,15.894562076588837,7,5
10,"tensor(25476.1250, device='cuda:0', grad_fn=<AddBackward0>)",21.864864864864863,14.586808236808235,7,5,"tensor(25476.1250, device='cuda:0', grad_fn=<AddBackward0>)",27.44015444015444,15.326886069743212,7,5,"tensor(25476.1250, device='cuda:0', grad_fn=<AddBackward0>)",33.38610038610039,15.743188741823195,7,5
11,"tensor(25263.3242, device='cuda:0', grad_fn=<AddBackward0>)",21.625482625482626,14.332947232947232,7,5,"tensor(25263.3242, device='cuda:0', grad_fn=<AddBackward0>)",27.231660231660232,15.077554084696942,7,5,"tensor(25263.3242, device='cuda:0', grad_fn=<AddBackward0>)",33.02702702702703,15.479595128644222,7,5
12,"tensor(25143.8438, device='cuda:0', grad_fn=<AddBackward0>)",21.602316602316602,14.329086229086228,7,5,"tensor(25143.8438, device='cuda:0', grad_fn=<AddBackward0>)",26.87644787644788,15.030793037935894,7,5,"tensor(25143.8438, device='cuda:0', grad_fn=<AddBackward0>)",32.683397683397686,15.435663990882922,7,5
13,"tensor(24959.4668, device='cuda:0', grad_fn=<AddBackward0>)",21.38996138996139,14.128378378378379,7,5,"tensor(24959.4668, device='cuda:0', grad_fn=<AddBackward0>)",26.571428571428573,14.818094625237482,7,5,"tensor(24959.4668, device='cuda:0', grad_fn=<AddBackward0>)",32.335907335907336,15.216155974769421,7,5
14,"tensor(24771.4531, device='cuda:0', grad_fn=<AddBackward0>)",20.92277992277992,13.85958815958816,7,5,"tensor(24771.4531, device='cuda:0', grad_fn=<AddBackward0>)",26.135135135135133,14.546528160813876,7,5,"tensor(24771.4531, device='cuda:0', grad_fn=<AddBackward0>)",31.61003861003861,14.928490573747096,7,5
15,"tensor(24608.5820, device='cuda:0', grad_fn=<AddBackward0>)",20.274131274131275,13.56981981981982,7,5,"tensor(24608.5820, device='cuda:0', grad_fn=<AddBackward0>)",25.536679536679536,14.26870441870442,7,5,"tensor(24608.5820, device='cuda:0', grad_fn=<AddBackward0>)",30.94208494208494,14.647491086577775,7,5
16,"tensor(24462.0508, device='cuda:0', grad_fn=<AddBackward0>)",20.494208494208493,13.595495495495493,7,5,"tensor(24462.0508, device='cuda:0', grad_fn=<AddBackward0>)",25.59073359073359,14.274094502665932,7,5,"tensor(24462.0508, device='cuda:0', grad_fn=<AddBackward0>)",30.97683397683398,14.646957156847693,7,5
